applicant_age,gender,province,monthly_income_npr,loan_amount_npr,loan_tenure_months,max_dpd_24m,overdue_count_12m,bounce_count_12m,restructure_count,dscr,emi_income_ratio,income_stability,avg_bank_balance_6m,income_cagr_2y,ltv_ratio,collateral_score,insurance_flag,active_loan_count,credit_history_months,hard_enquiry_6m,bank_tenure_months,product_count,avg_deposit_12m,bs_month_applied,festival_proximity,district_npa_rate,remittance_inflow_flag,defaulted
41,Female,Bagmati,79700,431000,60,0,0,0,0,3.5,0.242,1.0,281900.0,0.0323,0.83,0.5,0,1,113,1,83,6,231700.0,5,17,0.0118,0,0
42,Male,Bagmati,57400,715000,48,61,3,1,1,1.629,0.6363,0.4,563100.0,0.0468,0.6936,1.0,1,1,43,3,20,2,474100.0,6,5,0.0109,0,0
31,Female,Gandaki,27400,328000,84,4,1,1,0,1.8396,0.5056,1.0,38400.0,0.0664,0.6662,0.5,0,1,63,2,35,3,36500.0,5,10,0.0113,0,1
41,Female,Gandaki,44300,447000,120,0,0,0,0,3.282,0.2891,1.0,123900.0,0.0121,0.6775,0.5,0,1,27,1,276,3,136200.0,5,9,0.0126,0,0
49,Female,Lumbini,59700,192000,48,6,3,3,0,3.5,0.1235,1.0,360400.0,0.0923,0.4666,0.8,1,0,141,1,19,6,337300.0,1,68,0.0127,0,0
60,Male,Madhesh,21300,136000,120,34,3,0,0,3.5,0.233,0.4,8400.0,0.1665,0.7571,0.6,1,1,240,0,166,2,22000.0,7,18,0.0132,0,0
56,Male,Sudurpashchim,22900,311000,120,0,0,0,0,2.2732,0.4705,0.4,55100.0,-0.1182,0.4848,0.6,0,1,20,0,4,5,106000.0,4,12,0.0153,1,1
27,Female,Lumbini,28200,432000,120,5,0,0,0,2.8972,0.3718,1.0,398700.0,0.0497,0.744,0.6,0,1,32,1,108,3,519600.0,11,23,0.0136,1,0
24,Male,Gandaki,63500,523000,36,22,3,0,0,1.7198,0.5522,0.7,22400.0,0.1921,0.2532,0.4,1,1,15,1,29,2,500.0,11,14,0.0129,0,0
61,Male,Karnali,8000,77000,60,2,0,0,1,1.539,0.6507,1.0,85100.0,0.0859,0.5873,0.6,1,2,240,2,83,4,72600.0,3,42,0.015,0,1
55,Female,Bagmati,131800,713000,48,10,2,0,0,2.9387,0.3629,0.7,317800.0,0.0425,0.6701,1.0,1,1,66,2,50,2,364500.0,9,52,0.0126,0,1
27,Female,Bagmati,74700,402000,12,0,0,0,0,1.071,1.0259,1.0,73400.0,0.1039,0.6371,0.6,1,2,82,0,60,6,66100.0,7,17,0.0109,0,0
56,Male,Bagmati,53800,227000,36,0,0,0,0,2.6461,0.3702,0.7,241400.0,0.0921,0.3671,0.5,0,2,240,0,179,4,287400.0,9,54,0.0134,0,0
52,Male,Sudurpashchim,15700,219000,60,0,0,0,0,2.1596,0.4707,0.4,88100.0,0.0865,0.6685,0.6,0,1,2,1,14,5,80200.0,12,32,0.0146,1,0
61,Male,Madhesh,38600,396000,60,0,0,0,0,1.4976,0.6337,1.0,142500.0,0.1531,0.6236,0.5,0,2,67,0,62,4,138900.0,9,75,0.0145,0,0
27,Male,Bagmati,69100,995000,60,0,0,0,0,1.7307,0.5418,1.0,254700.0,0.1377,0.4917,0.8,1,1,33,3,40,6,139800.0,8,46,0.0111,0,0
55,Male,Madhesh,46400,383000,120,0,0,0,0,2.7564,0.3743,1.0,185800.0,0.0559,0.4173,0.8,0,2,31,3,27,1,122300.0,10,81,0.015,0,0
36,Male,Bagmati,38400,300000,120,5,1,3,0,3.5,0.2291,1.0,298000.0,0.0654,0.6812,0.8,0,1,24,0,22,6,228000.0,8,49,0.011,0,0
44,Male,Lumbini,70000,376000,84,0,0,1,0,3.5,0.2145,1.0,298400.0,0.0681,0.7137,0.5,0,1,112,2,3,2,190300.0,11,30,0.0125,0,0
31,Male,Madhesh,24600,347000,120,0,0,0,0,1.5385,0.6734,1.0,219700.0,0.1074,0.3412,0.5,0,3,14,1,54,2,130600.0,7,9,0.0147,0,0
23,Other,Gandaki,19300,252000,120,11,1,0,0,3.3927,0.2978,0.4,13900.0,0.0332,0.6891,0.6,0,0,14,1,14,6,500.0,5,7,0.0151,0,0
50,Male,Gandaki,62400,223000,120,0,0,0,0,3.5,0.0656,1.0,324000.0,0.0959,0.5891,0.6,1,0,164,1,31,3,390500.0,11,29,0.0129,0,0
24,Male,Lumbini,65700,352000,48,0,0,0,0,2.7678,0.3773,0.7,458800.0,0.0339,0.3474,0.4,0,1,13,0,72,6,583200.0,2,40,0.0136,1,0
40,Male,Gandaki,66000,517000,48,18,1,0,0,2.271,0.4496,1.0,110900.0,0.0788,0.6903,0.5,0,2,35,1,10,2,126700.0,5,25,0.0131,0,0
29,Male,Bagmati,56200,666000,120,0,0,0,0,1.4274,0.6475,1.0,585800.0,0.0257,0.2747,0.6,1,2,10,1,23,6,661900.0,2,49,0.0117,0,0
59,Male,Bagmati,67900,267000,12,0,0,0,0,1.6344,0.6503,1.0,112700.0,0.0874,0.6778,0.5,0,1,240,0,113,2,161500.0,7,13,0.0118,0,0
39,Female,Province No. 1,39100,218000,24,0,0,0,0,1.8232,0.5699,0.4,120300.0,-0.0759,0.626,0.4,0,1,18,0,44,4,110900.0,5,15,0.0127,0,0
28,Female,Province No. 1,57000,484000,60,0,0,0,0,2.4947,0.4178,1.0,189300.0,0.0347,0.2848,0.6,0,1,4,3,39,5,140400.0,12,52,0.0135,0,0
61,Male,Lumbini,58000,460000,60,0,0,0,0,1.452,0.704,1.0,139500.0,0.0825,0.484,0.6,0,3,57,1,1,5,152300.0,9,68,0.0137,0,0
49,Male,Bagmati,95900,483000,60,0,0,0,0,3.5,0.1427,0.7,56600.0,0.1315,0.4699,0.6,1,0,30,0,74,5,81200.0,7,4,0.0115,1,0
28,Male,Province No. 1,89700,982000,12,180,6,3,0,0.6566,1.558,0.7,499700.0,0.0685,0.598,0.6,1,2,38,1,120,6,303200.0,8,28,0.0125,0,1
35,Male,Sudurpashchim,36800,160000,48,0,0,0,0,2.4514,0.4029,0.7,67100.0,0.1112,0.5482,0.5,0,1,20,1,15,6,99800.0,10,76,0.0148,0,1
43,Male,Lumbini,56100,510000,120,22,2,0,0,3.5,0.2754,1.0,404600.0,0.0499,0.2825,0.6,1,1,69,1,44,4,306800.0,7,2,0.0126,1,0
53,Male,Madhesh,33600,206000,12,11,3,0,0,1.1857,0.8456,1.0,270400.0,0.0513,0.7651,0.8,1,1,100,1,113,2,190700.0,11,15,0.0135,1,0
62,Male,Bagmati,129900,784000,48,15,2,1,1,2.7088,0.3632,0.7,690000.0,0.0442,0.3422,0.6,1,1,234,1,1,1,786300.0,8,36,0.0131,1,0
56,Male,Bagmati,8000,50000,36,30,5,4,0,2.4304,0.4118,0.7,42200.0,0.1558,0.6011,0.5,0,1,19,0,6,3,61900.0,2,51,0.0117,0,1
21,Female,Province No. 1,61500,292000,48,0,0,0,0,3.0697,0.3223,0.7,23100.0,0.1324,0.73,1.0,1,1,5,2,36,6,54300.0,7,0,0.0136,0,0
40,Male,Madhesh,18800,115000,48,0,0,0,1,3.2269,0.2961,1.0,500.0,-0.0102,0.2669,0.6,0,1,27,1,19,1,22500.0,2,55,0.0145,0,0
22,Female,Bagmati,47500,319000,48,0,0,0,0,2.54,0.3668,1.0,46600.0,0.1346,0.6953,1.0,1,1,10,1,48,6,24800.0,2,49,0.0124,0,0
33,Male,Gandaki,14600,50000,120,24,10,6,0,3.5,0.2045,0.4,79800.0,-0.2,0.6377,0.5,1,1,58,0,94,3,40300.0,10,74,0.0125,0,1
32,Female,Madhesh,24900,165000,36,4,2,1,1,1.7177,0.5629,0.7,17700.0,0.0191,0.3852,0.8,1,1,186,2,125,6,29300.0,11,23,0.0137,1,0
32,Female,Bagmati,81700,565000,60,3,1,0,0,3.5,0.2063,1.0,243600.0,0.1202,0.5006,1.0,1,0,8,0,31,1,249000.0,6,18,0.0125,0,0
30,Female,Karnali,17200,137000,60,0,0,0,0,2.7441,0.3599,0.4,19300.0,-0.03,0.6184,0.5,0,1,79,2,1,2,6600.0,12,47,0.016,0,0
37,Female,Sudurpashchim,47200,728000,84,0,0,0,0,2.2468,0.4151,0.7,291200.0,0.1854,0.3946,1.0,0,0,17,1,44,2,357600.0,7,14,0.0145,0,0
41,Male,Lumbini,70900,339000,12,0,0,0,1,1.3465,0.7169,1.0,86900.0,0.1005,0.7877,0.5,1,2,240,1,26,2,83700.0,12,30,0.0126,0,1
61,Male,Madhesh,36200,131000,36,124,1,1,0,3.4509,0.308,1.0,217500.0,0.0502,0.2459,0.6,1,1,43,2,40,6,195100.0,3,38,0.0148,0,0
38,Female,Lumbini,41700,331000,36,0,0,0,0,2.6899,0.3633,0.7,51900.0,0.2049,0.3389,0.5,0,0,40,0,82,6,67700.0,2,49,0.0127,0,0
21,Male,Lumbini,44700,204000,120,19,7,3,0,1.5257,0.5906,1.0,208000.0,0.0964,0.4305,0.8,1,3,0,4,36,5,205400.0,9,56,0.0138,1,0
45,Female,Lumbini,33800,178000,36,4,2,1,0,3.5,0.1972,0.7,209400.0,0.1302,0.7483,1.0,1,0,109,2,20,2,265000.0,11,23,0.0124,0,0
33,Female,Bagmati,50200,462000,120,25,2,1,0,2.2546,0.4431,0.7,280500.0,0.109,0.2959,0.8,1,2,13,1,117,6,230200.0,4,25,0.0127,0,0
27,Male,Gandaki,40300,308000,60,0,0,0,0,3.1352,0.3328,1.0,500.0,0.1725,0.3474,0.4,0,1,13,1,42,5,500.0,2,59,0.0141,0,0
49,Female,Bagmati,47800,235000,60,0,0,0,0,2.8159,0.3401,0.4,143300.0,-0.0214,0.4904,0.5,0,1,40,1,28,5,100500.0,7,19,0.0116,0,0
49,Male,Madhesh,10000,50000,24,8,3,2,0,2.5597,0.3785,1.0,164400.0,0.1165,0.5843,0.8,1,0,76,0,24,3,200200.0,8,27,0.014,1,0
35,Male,Gandaki,72500,478000,36,0,0,0,0,1.72,0.585,1.0,210900.0,0.1206,0.6293,0.8,1,2,240,2,50,6,165400.0,12,35,0.0122,0,0
30,Female,Bagmati,93300,517000,60,0,0,0,0,3.5,0.1597,0.7,338900.0,0.2364,0.6502,0.8,1,0,75,1,55,2,338900.0,1,71,0.0115,0,0
41,Female,Bagmati,118700,402000,84,0,0,0,0,2.797,0.3362,0.7,223700.0,0.2552,0.54,0.8,1,2,49,1,14,1,203400.0,2,48,0.0114,0,0
39,Male,Lumbini,17400,205000,36,0,0,0,0,1.1117,0.8784,1.0,226300.0,0.082,0.2544,0.8,1,3,29,1,1,3,295900.0,10,86,0.0116,0,0
61,Male,Bagmati,63900,788000,120,0,0,1,0,3.4854,0.3166,0.7,143700.0,0.1229,0.6329,0.5,1,1,71,0,57,4,138100.0,12,48,0.0127,0,0
22,Female,Province No. 1,13500,88000,48,0,0,0,0,1.9629,0.5018,0.4,48600.0,0.1512,0.724,1.0,1,1,5,1,42,5,70000.0,11,32,0.0129,0,0
28,Female,Lumbini,48000,299000,12,2,1,2,0,1.1695,0.8752,0.7,504700.0,0.069,0.5727,0.5,1,1,55,3,11,4,615400.0,10,85,0.014,1,1
54,Female,Gandaki,75600,888000,120,6,2,1,0,2.1963,0.4331,0.7,288700.0,0.0463,0.7654,1.0,1,1,85,1,40,5,341200.0,3,38,0.0128,1,0
60,Male,Lumbini,54100,523000,12,1,2,1,0,0.5921,1.4271,1.0,161100.0,0.108,0.5857,0.5,0,1,240,2,18,3,40200.0,9,69,0.0128,1,1
47,Male,Bagmati,83400,522000,24,2,1,0,0,2.1163,0.5046,1.0,43300.0,0.0414,0.2987,0.6,0,1,155,0,68,2,67900.0,6,13,0.0114,0,0
34,Male,Province No. 1,32600,288000,12,9,6,1,0,1.0282,1.0103,0.7,82400.0,0.091,0.4427,1.0,1,0,59,1,108,6,77900.0,12,50,0.0138,0,1
29,Male,Madhesh,75600,1120000,84,0,0,1,0,1.9069,0.4656,1.0,670300.0,0.0777,0.5799,0.5,0,1,31,2,8,3,549500.0,5,4,0.0143,1,0
56,Female,Sudurpashchim,37800,307000,120,8,2,1,0,3.1388,0.3021,0.7,61700.0,0.1082,0.6498,0.8,1,2,76,1,13,4,65200.0,12,47,0.0142,0,0
46,Male,Bagmati,51400,248000,12,0,0,0,0,1.6284,0.6348,1.0,132200.0,0.0825,0.7496,0.5,0,0,17,0,79,4,192900.0,7,0,0.0131,1,0
38,Male,Madhesh,10000,96000,36,17,5,1,0,1.8712,0.4926,1.0,21800.0,0.1113,0.4505,0.5,1,0,79,0,18,5,55600.0,12,39,0.0141,0,0
39,Female,Madhesh,36100,248000,60,15,1,0,0,3.5,0.2622,1.0,190400.0,0.1396,0.5884,0.4,1,1,114,1,252,4,195300.0,4,19,0.0133,0,0
27,Male,Province No. 1,50400,758000,84,0,0,1,0,2.279,0.4214,1.0,405500.0,0.0499,0.6616,0.5,0,0,34,2,20,2,379700.0,6,0,0.0119,0,1
55,Female,Madhesh,21100,120000,24,24,1,0,0,1.5815,0.626,1.0,500.0,0.0909,0.5602,0.8,1,2,80,1,17,1,500.0,6,0,0.0147,0,0
23,Male,Madhesh,41300,220000,60,24,3,3,0,3.5,0.2597,0.7,435300.0,0.1147,0.611,0.6,0,1,21,0,60,1,533900.0,5,17,0.014,1,0
62,Male,Bagmati,91300,941000,120,0,0,0,0,2.7273,0.3762,0.7,326600.0,0.1422,0.4502,0.5,0,1,240,2,32,5,397800.0,9,47,0.0109,0,0
28,Female,Gandaki,12600,184000,120,0,0,0,0,2.2626,0.4728,1.0,500.0,0.0713,0.7837,0.6,1,1,6,2,66,4,14900.0,7,12,0.0126,0,0
26,Female,Madhesh,37300,372000,84,0,0,0,0,3.5,0.2778,1.0,37700.0,0.0468,0.522,0.6,0,0,19,0,96,6,65800.0,1,73,0.0153,1,0
24,Female,Madhesh,36700,446000,120,16,4,3,0,3.5,0.2559,0.7,154600.0,0.166,0.4705,0.8,1,0,0,0,72,6,168000.0,7,0,0.0149,0,0
41,Male,Bagmati,53000,713000,120,33,3,4,1,1.644,0.6121,1.0,17100.0,0.0518,0.2692,0.5,0,2,71,3,36,6,50900.0,1,47,0.0115,0,1
23,Male,Karnali,25500,339000,84,8,2,2,0,2.1844,0.4511,1.0,106000.0,0.0988,0.4085,0.6,1,1,7,0,60,3,97500.0,8,45,0.0165,1,0
