applicant_age,gender,province,monthly_income_npr,loan_amount_npr,loan_tenure_months,close_year,max_dpd_24m,overdue_count_12m,bounce_count_12m,restructure_count,dscr,emi_income_ratio,income_stability,avg_bank_balance_6m,income_cagr_2y,ltv_ratio,collateral_score,insurance_flag,active_loan_count,credit_history_months,hard_enquiry_6m,bank_tenure_months,product_count,avg_deposit_12m,bs_month_applied,festival_proximity,district_npa_rate,remittance_inflow_flag,defaulted
26,Male,Bagmati,74000,543000,48,2024,0,0,0,0,3.5,0.2258,0.7,207000.0,0.0819,0.3892,0.8,1,0,14,1,30,3,172000.0,10,80,0.0108,1,0
27,Male,Karnali,23000,226000,84,2019,0,0,0,0,2.1039,0.497,1.0,110200.0,0.0416,0.5784,0.8,1,4,10,6,78,6,40200.0,5,25,0.0158,0,0
54,Male,Lumbini,63400,447000,36,2021,0,0,0,0,2.0663,0.4934,0.7,125200.0,0.2763,0.6748,0.8,1,1,43,1,30,4,128000.0,10,88,0.0149,0,0
54,Male,Sudurpashchim,29300,145000,120,2022,0,0,0,0,2.4267,0.4319,1.0,39100.0,0.1329,0.3816,0.4,0,2,30,2,16,4,40400.0,9,70,0.0159,0,0
44,Female,Gandaki,60100,521000,48,2019,0,0,0,0,2.0791,0.4783,1.0,11900.0,0.0821,0.4539,0.8,0,1,74,2,1,5,4200.0,6,13,0.0141,0,0
35,Male,Province No. 1,33300,157000,24,2022,34,2,1,0,1.2536,0.7626,0.4,500.0,0.176,0.6471,0.6,1,3,22,1,22,6,10900.0,4,35,0.0127,0,0
37,Male,Province No. 1,40900,390000,48,2023,0,0,0,0,1.2742,0.8072,1.0,222000.0,0.0601,0.3459,0.6,0,2,240,2,45,3,261300.0,4,31,0.0129,0,0
54,Male,Sudurpashchim,36900,237000,36,2020,5,3,0,0,2.1019,0.4604,1.0,92300.0,0.0605,0.4547,0.6,0,2,31,1,39,1,63300.0,10,78,0.0142,1,0
29,Male,Bagmati,37400,187000,12,2021,0,0,0,1,1.3831,0.7431,1.0,2900.0,0.0945,0.7093,0.6,1,1,8,1,37,3,9300.0,10,78,0.0122,0,1
24,Male,Madhesh,8000,50000,24,2024,59,3,1,0,1.5323,0.5578,1.0,85300.0,0.089,0.5097,0.6,0,1,59,4,72,6,136600.0,9,61,0.0141,0,0
32,Male,Bagmati,65700,295000,48,2022,0,0,0,0,3.2258,0.3266,0.7,391600.0,0.1626,0.4227,0.6,0,2,62,1,161,6,445600.0,9,65,0.0121,0,0
28,Male,Bagmati,55200,333000,48,2022,0,0,0,0,1.7061,0.5982,0.4,139100.0,-0.0872,0.7109,0.6,1,3,6,1,120,6,124500.0,1,61,0.0118,0,0
28,Male,Lumbini,28800,163000,36,2023,17,2,2,0,2.2282,0.4624,0.7,12200.0,0.0685,0.2837,0.6,1,2,139,0,13,4,18700.0,8,54,0.0125,0,0
40,Male,Sudurpashchim,41100,274000,36,2020,0,0,1,0,1.5039,0.6556,0.7,670500.0,-0.0269,0.3906,0.6,0,5,240,6,16,3,709700.0,9,57,0.0159,0,0
54,Male,Province No. 1,27600,245000,60,2023,20,2,2,0,1.7358,0.5709,1.0,500.0,0.1552,0.574,0.6,1,2,4,2,27,3,500.0,1,63,0.0122,0,0
50,Male,Gandaki,48100,259000,84,2024,0,0,0,0,2.8772,0.3324,0.7,63700.0,0.1078,0.3432,0.5,0,1,2,2,24,2,85500.0,12,49,0.0127,0,0
32,Other,Gandaki,54700,462000,60,2024,49,0,0,0,1.3161,0.6843,1.0,95500.0,0.0863,0.6418,0.6,1,3,9,5,28,2,146300.0,7,14,0.0123,0,0
38,Male,Madhesh,31300,214000,120,2018,7,5,4,1,3.5,0.1255,1.0,65200.0,0.112,0.8094,0.6,0,0,184,0,37,2,62300.0,7,6,0.0139,0,0
40,Female,Bagmati,89500,647000,84,2020,0,0,0,0,3.5,0.2309,0.7,640700.0,0.0705,0.7715,0.8,1,1,178,1,88,3,422500.0,1,69,0.0121,0,0
37,Male,Bagmati,8000,90000,120,2018,0,0,0,0,3.5,0.2081,1.0,500.0,0.0428,0.6389,1.0,0,0,59,0,1,2,2000.0,1,53,0.0122,0,0
61,Female,Madhesh,45800,286000,60,2021,7,3,1,0,3.2922,0.3177,1.0,129200.0,-0.0074,0.2687,0.5,1,1,17,1,44,5,125000.0,8,40,0.0151,1,0
60,Male,Bagmati,94200,662000,60,2020,0,0,0,0,3.5,0.1976,1.0,117000.0,0.1124,0.6733,0.5,1,0,240,1,35,2,160200.0,8,53,0.0117,0,0
62,Male,Lumbini,36000,613000,120,2022,0,0,0,0,2.9211,0.3384,0.7,53700.0,0.0844,0.5348,0.8,1,0,150,2,63,3,54000.0,11,25,0.0137,0,0
38,Female,Madhesh,73600,335000,24,2020,0,0,0,0,1.1702,0.8736,1.0,342500.0,0.0991,0.5536,0.6,0,3,34,1,65,6,296600.0,4,16,0.0156,0,0
54,Male,Karnali,19800,276000,12,2023,0,0,0,0,0.5,1.9977,1.0,174400.0,0.0105,0.5343,0.6,0,3,240,2,51,5,171800.0,5,11,0.0147,1,1
51,Female,Lumbini,47500,200000,84,2024,127,4,1,1,2.6219,0.3706,0.7,188200.0,0.1056,0.7614,0.5,0,2,52,1,44,2,216900.0,1,68,0.0123,0,1
54,Male,Gandaki,34800,399000,120,2019,0,0,0,0,3.5,0.2672,1.0,700.0,0.0205,0.3793,0.8,1,0,240,0,20,5,27700.0,8,28,0.0117,0,0
27,Female,Karnali,16800,118000,48,2020,1,1,1,0,1.7657,0.5563,0.4,34500.0,-0.1964,0.471,0.4,0,2,63,3,95,5,54100.0,11,25,0.0156,0,0
60,Female,Karnali,36600,327000,24,2019,0,0,0,0,1.572,0.7437,1.0,40600.0,0.052,0.665,1.0,1,1,240,4,26,6,15100.0,11,13,0.0149,1,0
60,Male,Gandaki,90500,939000,48,2024,15,2,0,0,1.0606,0.9112,0.7,500.0,0.0533,0.8124,0.4,0,2,87,0,1,5,500.0,10,65,0.011,0,1
54,Female,Gandaki,48400,621000,60,2022,0,0,0,0,1.1701,0.8468,0.4,339300.0,0.1709,0.391,1.0,1,3,156,3,10,4,238300.0,1,72,0.0135,0,0
45,Male,Lumbini,38200,230000,24,2020,53,2,2,0,1.6878,0.6227,0.7,289300.0,0.1891,0.7992,0.6,0,1,240,1,33,6,254400.0,7,0,0.013,0,0
39,Female,Bagmati,150000,1000000,60,2021,0,0,0,0,3.5,0.1848,0.7,220900.0,0.1736,0.5884,0.8,1,0,7,2,108,4,254500.0,7,4,0.0119,1,0
31,Male,Bagmati,68100,566000,24,2023,11,3,2,0,0.9193,1.0815,1.0,81800.0,0.0624,0.4133,0.8,1,2,19,1,96,4,124700.0,6,0,0.0113,0,1
23,Male,Bagmati,31800,348000,60,2023,5,1,1,0,1.3115,0.7569,0.7,240100.0,0.0968,0.6252,0.4,0,3,1,0,10,5,153700.0,8,52,0.0119,0,1
61,Male,Sudurpashchim,17700,118000,24,2021,0,0,0,0,1.9521,0.5108,0.4,500.0,-0.0217,0.5857,0.6,1,0,210,1,53,2,13600.0,3,28,0.0155,0,0
29,Female,Lumbini,47100,320000,48,2020,0,0,0,1,3.5,0.2541,0.7,22300.0,0.0994,0.56,0.8,1,0,11,1,18,5,29200.0,10,95,0.0134,0,0
35,Female,Lumbini,19000,160000,12,2024,0,0,0,0,0.7061,1.4299,0.4,500.0,0.0001,0.4303,0.4,0,2,39,1,96,3,27000.0,6,0,0.0133,0,1
39,Male,Sudurpashchim,34900,208000,36,2023,0,0,0,0,1.9149,0.5255,0.7,518000.0,0.3111,0.636,0.8,1,1,66,0,66,2,358900.0,10,92,0.0168,0,0
49,Male,Madhesh,49000,244000,48,2018,13,1,1,0,3.5,0.189,0.7,4200.0,0.1406,0.5201,1.0,0,0,133,0,6,4,84900.0,3,42,0.0172,1,0
32,Male,Madhesh,37200,350000,84,2022,29,2,0,0,2.1927,0.4585,1.0,25100.0,0.0671,0.467,1.0,0,1,14,1,1,1,500.0,11,35,0.0139,1,0
30,Female,Bagmati,108600,964000,60,2018,58,1,2,0,3.5,0.2429,0.7,493900.0,0.0929,0.6715,0.6,1,0,178,0,8,6,571900.0,5,27,0.0136,0,0
34,Male,Bagmati,41100,375000,60,2022,2,4,1,0,2.3664,0.4206,0.4,177600.0,0.013,0.3829,0.4,0,1,27,3,30,5,155000.0,9,45,0.0114,0,0
34,Male,Lumbini,31100,434000,48,2024,0,0,0,0,1.3099,0.7663,0.7,500.0,0.1873,0.4756,1.0,1,2,73,1,37,3,500.0,5,10,0.0127,1,1
23,Female,Madhesh,8800,110000,48,2018,0,0,0,0,1.2804,0.809,1.0,33600.0,0.0249,0.3054,0.5,0,2,33,2,5,4,22800.0,7,3,0.015,0,0
37,Other,Madhesh,36800,107000,48,2020,0,0,0,0,3.5,0.123,0.7,500.0,0.0537,0.4895,0.8,1,0,9,1,8,2,12600.0,5,10,0.0138,0,0
44,Male,Sudurpashchim,35100,258000,12,2022,0,0,0,0,0.8278,1.0734,0.7,500.0,0.1006,0.8055,0.8,1,1,133,2,27,6,500.0,4,10,0.0159,1,0
39,Male,Lumbini,25100,150000,60,2020,1,4,2,0,1.5284,0.6392,0.4,18300.0,0.122,0.2676,0.5,1,3,23,2,6,5,35900.0,5,30,0.0131,1,0
35,Female,Madhesh,8000,50000,12,2019,0,0,1,0,0.9965,0.8,1.0,11500.0,0.0562,0.5297,0.5,0,0,71,1,15,3,29700.0,10,68,0.0136,0,0
59,Male,Madhesh,17700,216000,36,2020,19,2,1,0,1.7689,0.5426,1.0,1300.0,0.0519,0.6461,0.6,0,0,100,1,10,6,32200.0,11,34,0.0129,1,0
31,Male,Gandaki,59600,408000,36,2021,0,0,0,0,2.2711,0.4486,1.0,15400.0,0.0667,0.3235,0.8,1,1,5,1,66,2,500.0,5,4,0.0123,0,0
56,Other,Bagmati,31700,167000,120,2020,12,1,0,0,3.5,0.2397,1.0,71900.0,0.113,0.7509,1.0,1,1,41,1,11,1,75200.0,6,0,0.0125,0,0
46,Male,Madhesh,23900,159000,120,2024,12,1,1,1,3.5,0.1381,0.4,14100.0,0.2604,0.7741,0.5,1,0,29,0,17,6,58300.0,8,46,0.0145,0,0
48,Male,Bagmati,53500,485000,120,2024,0,0,1,0,2.1,0.5065,1.0,198800.0,0.0177,0.3643,0.6,0,2,240,1,4,1,125800.0,10,75,0.0122,1,0
32,Male,Gandaki,36000,323000,60,2022,12,4,0,0,2.4512,0.4127,0.7,68500.0,0.1477,0.3294,0.6,1,2,72,2,37,3,57600.0,6,0,0.0122,1,0
61,Female,Karnali,25600,293000,48,2018,6,3,4,0,2.0852,0.4832,1.0,61800.0,0.0943,0.7396,0.8,1,1,133,1,43,2,500.0,3,25,0.0163,1,0
41,Female,Bagmati,79700,431000,60,2018,23,4,0,0,3.5,0.1775,1.0,106900.0,0.05,0.434,0.5,0,0,160,0,20,5,149400.0,2,41,0.0121,0,0
42,Male,Bagmati,57400,715000,48,2022,21,3,2,0,2.2969,0.4199,0.4,68500.0,-0.1422,0.3517,1.0,1,0,8,0,22,1,103300.0,12,35,0.0118,0,1
31,Female,Gandaki,27400,328000,84,2022,0,0,0,0,1.4613,0.6827,1.0,11100.0,0.0243,0.8102,0.5,0,2,15,5,76,3,500.0,6,8,0.0126,0,0
41,Female,Gandaki,44300,447000,120,2019,17,2,4,0,2.0789,0.4584,1.0,148500.0,0.059,0.4222,0.5,0,3,18,2,19,3,114400.0,1,74,0.0128,0,0
49,Female,Lumbini,59700,192000,48,2024,0,0,0,0,3.5,0.1191,1.0,55000.0,0.082,0.6661,0.8,1,0,34,5,50,3,65200.0,4,27,0.0127,1,0
60,Male,Madhesh,21300,136000,120,2023,2,1,1,0,3.2253,0.301,0.4,27700.0,-0.0421,0.5033,0.6,1,1,240,2,26,6,42100.0,12,58,0.016,0,0
56,Male,Sudurpashchim,22900,311000,120,2020,0,0,0,0,3.2735,0.2835,0.4,93300.0,0.0223,0.5407,0.6,1,0,89,2,73,6,59400.0,4,32,0.0148,0,0
27,Female,Lumbini,28200,432000,120,2024,0,0,0,0,3.4381,0.2955,1.0,63700.0,0.1025,0.3855,0.6,1,0,47,3,50,2,89100.0,12,52,0.013,0,0
24,Male,Gandaki,63500,523000,36,2023,0,0,1,0,1.5043,0.6617,0.7,500.0,0.0732,0.3616,0.4,1,2,19,2,17,5,17900.0,2,45,0.0118,0,0
61,Male,Karnali,8000,77000,60,2024,0,0,0,0,3.3925,0.33,1.0,32600.0,0.0413,0.5274,0.6,1,0,240,2,84,5,56900.0,2,53,0.0164,1,0
55,Female,Bagmati,131800,713000,48,2024,0,0,1,0,1.4963,0.6686,0.7,789200.0,0.2916,0.4421,1.0,1,3,29,2,62,4,865400.0,12,50,0.0134,0,0
27,Female,Bagmati,74700,402000,12,2018,87,1,0,1,1.3263,0.733,1.0,90900.0,0.0786,0.5969,0.6,1,0,27,2,48,3,96800.0,10,73,0.0122,0,1
56,Male,Bagmati,53800,227000,36,2022,0,0,0,0,3.0377,0.3322,0.7,211800.0,0.0739,0.2562,0.5,1,1,21,3,116,2,183700.0,4,26,0.0118,0,0
52,Male,Sudurpashchim,15700,219000,60,2019,0,0,0,0,2.0357,0.4864,0.4,184900.0,0.1029,0.5022,0.6,1,0,240,2,49,3,261100.0,5,23,0.0155,0,0
61,Male,Madhesh,38600,396000,60,2020,0,0,0,0,1.9894,0.5373,1.0,61700.0,0.1339,0.8064,0.5,0,1,117,2,15,6,97100.0,5,14,0.0151,1,0
27,Male,Bagmati,69100,995000,60,2020,0,0,0,0,2.3411,0.43,1.0,141600.0,0.0789,0.8029,0.8,1,0,39,1,52,5,144900.0,12,47,0.0133,0,0
55,Male,Madhesh,46400,383000,120,2022,0,0,0,0,3.5,0.2555,1.0,200900.0,0.0822,0.6221,0.8,1,1,32,3,2,5,142500.0,11,32,0.014,1,0
36,Male,Bagmati,38400,300000,120,2023,0,0,0,0,3.5,0.1738,1.0,352100.0,0.0583,0.4925,0.8,1,0,95,0,77,5,206400.0,5,12,0.0114,0,0
44,Male,Lumbini,70000,376000,84,2019,0,0,1,0,2.3766,0.415,1.0,152300.0,0.0394,0.8107,0.5,1,2,116,1,5,6,118900.0,4,28,0.0149,0,0
31,Male,Madhesh,24600,347000,120,2021,43,2,1,0,2.4383,0.4108,1.0,47700.0,0.0954,0.8035,0.5,0,1,96,1,9,5,43500.0,4,27,0.0152,0,1
23,Other,Gandaki,19300,252000,120,2023,0,0,0,0,1.8083,0.6046,0.4,115900.0,-0.0227,0.3933,0.6,0,3,10,3,60,6,119400.0,7,0,0.0114,0,1
50,Male,Gandaki,62400,223000,120,2021,0,0,0,0,2.0373,0.4975,1.0,769100.0,0.0462,0.4099,0.6,1,2,240,1,217,4,815400.0,2,51,0.0135,0,0
24,Male,Lumbini,65700,352000,48,2020,0,0,0,1,2.8176,0.3693,0.7,27100.0,0.2041,0.8198,0.4,0,1,6,2,23,5,500.0,10,91,0.0135,1,1
40,Male,Gandaki,66000,517000,48,2022,0,0,0,0,3.1271,0.3153,1.0,171100.0,0.0943,0.686,0.5,0,0,5,2,35,1,186000.0,4,20,0.0128,0,0
29,Male,Bagmati,56200,666000,120,2018,0,0,0,0,3.452,0.3263,1.0,95600.0,0.0036,0.6546,0.6,0,1,40,3,12,2,99000.0,5,9,0.012,1,0
59,Male,Bagmati,67900,267000,12,2021,0,0,0,0,2.0538,0.4753,1.0,500.0,0.118,0.6878,0.5,1,0,240,0,11,2,28000.0,4,11,0.0137,1,0
39,Female,Province No. 1,39100,218000,24,2022,12,4,3,0,1.9718,0.4698,0.4,2100.0,0.1505,0.6321,0.4,1,1,95,1,39,4,500.0,10,71,0.0124,1,0
28,Female,Province No. 1,57000,484000,60,2020,34,2,2,1,2.677,0.3586,1.0,195400.0,0.0382,0.7001,0.6,0,1,54,1,1,5,131700.0,5,19,0.0109,0,0
61,Male,Lumbini,58000,460000,60,2020,0,0,0,0,3.1198,0.3143,1.0,15800.0,0.1006,0.6586,0.6,1,1,44,1,94,6,16300.0,10,85,0.0137,0,0
49,Male,Bagmati,95900,483000,60,2019,6,1,0,0,2.445,0.4262,0.7,337100.0,0.1636,0.589,0.6,1,2,240,1,30,1,350600.0,12,48,0.0119,0,1
28,Male,Province No. 1,89700,982000,12,2024,0,0,0,0,0.6503,1.4702,0.7,247900.0,0.0896,0.5287,0.6,1,2,228,0,1,1,104700.0,2,45,0.0129,1,0
35,Male,Sudurpashchim,36800,160000,48,2018,0,0,0,0,2.1242,0.4717,0.7,143400.0,0.1082,0.2699,0.5,0,3,177,1,76,6,131000.0,6,6,0.0142,1,0
43,Male,Lumbini,56100,510000,120,2024,65,2,2,0,2.5578,0.3691,1.0,64500.0,0.0307,0.4536,0.6,0,2,86,1,26,4,74800.0,12,57,0.0127,0,0
53,Male,Madhesh,33600,206000,12,2024,2,1,1,0,1.1426,0.8323,1.0,84400.0,0.0601,0.7369,0.8,1,0,42,1,12,3,82300.0,1,58,0.0147,1,0
62,Male,Bagmati,129900,784000,48,2022,0,0,0,0,3.5,0.2019,0.7,672100.0,-0.0314,0.7026,0.6,1,0,240,0,10,1,814500.0,8,37,0.0133,0,0
56,Male,Bagmati,8000,50000,36,2024,0,0,0,0,3.5,0.2397,0.7,47600.0,0.0946,0.4496,0.5,1,0,188,0,96,5,57400.0,6,12,0.0123,1,0
21,Female,Province No. 1,61500,292000,48,2022,2,4,3,0,1.8264,0.5768,0.7,99100.0,0.0859,0.7456,1.0,1,2,2,0,36,2,145500.0,5,7,0.013,0,1
40,Male,Madhesh,18800,115000,48,2018,0,0,0,0,3.3411,0.28,1.0,500.0,0.0728,0.7113,0.6,1,1,51,3,18,1,30100.0,6,0,0.0136,1,0
22,Female,Bagmati,47500,319000,48,2020,52,4,2,0,2.0118,0.4617,1.0,128600.0,0.0726,0.4561,1.0,1,1,3,0,18,5,113900.0,10,70,0.0108,0,0
33,Male,Gandaki,14600,50000,120,2024,0,0,0,0,1.7484,0.5465,0.4,23500.0,-0.084,0.4687,0.5,1,3,47,2,33,6,69400.0,11,23,0.0135,0,0
32,Female,Madhesh,24900,165000,36,2023,14,2,1,0,1.1952,0.8322,0.7,21400.0,0.1114,0.7449,0.8,1,3,108,2,4,5,500.0,8,29,0.014,0,1
32,Female,Bagmati,81700,565000,60,2024,9,0,0,0,3.5,0.2416,1.0,489400.0,0.1591,0.4523,1.0,0,0,23,2,34,1,474400.0,7,11,0.011,0,0
30,Female,Karnali,17200,137000,60,2021,3,1,1,0,1.7298,0.5434,0.4,500.0,-0.2,0.3821,0.5,1,2,41,2,15,2,500.0,3,42,0.0157,0,0
37,Female,Sudurpashchim,47200,728000,84,2020,0,0,1,0,2.6301,0.3576,0.7,354300.0,0.1021,0.3347,1.0,1,0,183,1,5,2,420500.0,1,58,0.0154,0,0
41,Male,Lumbini,70900,339000,12,2020,0,0,0,0,1.4752,0.7085,1.0,500.0,0.0775,0.5508,0.5,1,1,75,1,28,1,16600.0,6,0,0.0145,0,1
61,Male,Madhesh,36200,131000,36,2023,0,0,0,0,3.059,0.3031,1.0,500.0,0.0846,0.4696,0.6,1,1,240,0,12,5,19000.0,7,0,0.0135,0,0
38,Female,Lumbini,41700,331000,36,2020,0,0,1,0,1.2561,0.8216,0.7,210400.0,0.0063,0.7545,0.5,1,3,51,1,32,1,273500.0,9,75,0.0145,0,1
21,Male,Lumbini,44700,204000,120,2022,20,4,2,1,3.5,0.2594,1.0,54000.0,0.146,0.7812,0.8,1,1,2,2,5,1,51400.0,11,23,0.0133,0,0
45,Female,Lumbini,33800,178000,36,2024,7,4,1,1,2.7642,0.358,0.7,156200.0,-0.1423,0.7638,1.0,1,1,22,2,25,6,58400.0,2,35,0.0136,0,0
33,Female,Bagmati,50200,462000,120,2023,6,1,2,0,2.823,0.3344,0.7,73200.0,0.2136,0.4831,0.8,1,1,58,0,180,2,100600.0,2,58,0.0132,0,0
27,Male,Gandaki,40300,308000,60,2021,7,2,0,0,3.5,0.2816,1.0,383700.0,0.0882,0.2641,0.4,0,0,156,0,23,5,405600.0,11,21,0.0127,0,0
49,Female,Bagmati,47800,235000,60,2021,4,1,0,0,2.5572,0.3938,0.4,74900.0,0.1485,0.3629,0.5,0,2,232,4,66,5,42000.0,4,34,0.0127,0,0
49,Male,Madhesh,10000,50000,24,2022,7,1,0,0,2.1632,0.448,1.0,27800.0,0.0463,0.4751,0.8,0,1,32,1,27,4,500.0,2,47,0.0151,0,0
35,Male,Gandaki,72500,478000,36,2021,4,4,5,0,3.3022,0.3078,1.0,283600.0,0.0728,0.3178,0.8,1,0,17,0,46,5,382000.0,6,4,0.0117,0,0
30,Female,Bagmati,93300,517000,60,2020,0,0,0,0,3.084,0.3303,0.7,166600.0,0.1692,0.4086,0.8,1,2,39,2,24,2,174400.0,5,19,0.0121,0,1
41,Female,Bagmati,118700,402000,84,2019,0,0,0,0,1.4122,0.6592,0.7,1016300.0,0.0617,0.6802,0.8,1,5,70,2,19,6,901600.0,7,6,0.013,0,0
39,Male,Lumbini,17400,205000,36,2020,15,1,0,0,1.1156,0.9048,1.0,500.0,0.1038,0.5888,0.8,0,3,118,0,89,5,500.0,5,26,0.0115,1,0
61,Male,Bagmati,63900,788000,120,2019,0,0,0,0,3.5,0.2706,0.7,26600.0,0.116,0.3303,0.5,0,0,225,1,36,2,34600.0,12,54,0.0126,0,0
22,Female,Province No. 1,13500,88000,48,2018,0,0,0,0,2.0865,0.4777,0.4,500.0,-0.1155,0.414,1.0,1,1,10,0,19,2,53900.0,6,16,0.0135,0,0
28,Female,Lumbini,48000,299000,12,2024,9,2,0,0,0.9616,0.9674,0.7,605600.0,-0.0186,0.6585,0.5,0,1,5,0,11,6,601800.0,2,54,0.0129,0,1
54,Female,Gandaki,75600,888000,120,2022,0,0,0,0,2.1246,0.461,0.7,96400.0,0.1294,0.6575,1.0,1,1,6,2,1,6,72000.0,12,39,0.0127,0,0
60,Male,Lumbini,54100,523000,12,2024,0,0,0,0,0.7844,1.2694,1.0,73900.0,0.096,0.2918,0.5,0,1,7,1,113,6,17800.0,5,17,0.0132,0,0
47,Male,Bagmati,83400,522000,24,2023,0,0,0,0,1.9028,0.5317,1.0,961700.0,0.0317,0.7416,0.6,1,1,231,0,201,6,1179700.0,11,24,0.0122,0,0
34,Male,Province No. 1,32600,288000,12,2023,2,2,1,0,0.7223,1.4188,0.7,93600.0,-0.0623,0.5583,1.0,1,2,80,1,17,3,81900.0,1,70,0.0152,0,1
29,Male,Madhesh,75600,1120000,84,2021,5,4,3,0,2.0914,0.5015,1.0,126500.0,0.1613,0.521,0.5,0,2,22,3,122,2,120100.0,4,19,0.0136,1,1
56,Female,Sudurpashchim,37800,307000,120,2022,3,4,1,0,3.5,0.2374,0.7,186300.0,0.19,0.5016,0.8,0,1,6,1,11,3,203300.0,7,18,0.0144,0,0
46,Male,Bagmati,51400,248000,12,2018,11,6,2,0,1.9072,0.5495,1.0,186500.0,0.063,0.3401,0.5,0,0,42,0,16,1,231100.0,5,23,0.0119,0,0
38,Male,Madhesh,10000,96000,36,2022,13,1,1,0,2.2972,0.4421,1.0,32700.0,0.124,0.2542,0.5,1,0,54,0,52,2,1300.0,8,49,0.0136,1,0
39,Female,Madhesh,36100,248000,60,2022,2,5,3,0,3.5,0.2064,1.0,500.0,0.1793,0.5778,0.4,0,0,50,0,9,1,15200.0,5,12,0.0131,0,1
27,Male,Province No. 1,50400,758000,84,2021,0,0,1,0,2.0243,0.4902,1.0,67100.0,0.1032,0.5748,0.5,1,1,55,3,38,4,13200.0,10,84,0.0129,0,0
55,Female,Madhesh,21100,120000,24,2022,3,3,2,0,2.8186,0.3533,1.0,500.0,0.0771,0.3077,0.8,1,0,63,0,1,3,500.0,9,56,0.0151,1,0
23,Male,Madhesh,41300,220000,60,2023,2,1,1,0,3.1121,0.3151,0.7,166900.0,0.1595,0.3547,0.6,0,1,18,1,10,2,168200.0,2,41,0.0149,0,0
62,Male,Bagmati,91300,941000,120,2021,0,0,0,0,3.5,0.2341,0.7,481200.0,0.2131,0.8094,0.5,0,0,191,1,38,1,641700.0,8,44,0.012,0,0
